"","(Intercept)","Age","Area_type","Aware_stork","Education","Env_org_member","EnvConcern.score","Freq_exp_nature","Gender","Knepp_visit","KnowledgeScore","NCI","Occupation","ProCoBS","SeenWildCaptivity","SiteLocal","Support_reintroductions","SurveyType","df","logLik","AICc","delta","weight"
"122040",1.25715646185446,"+","+","+",NA,"+",0.0813215066855067,NA,"+",NA,NA,0.00246300694645886,"+",0.00558048191474848,NA,"+",0.3743995616486,"+",19,-1443.94595474721,2926.22091382342,0,0.159977340430038
"105656",1.28738777338525,"+","+","+",NA,"+",0.0819087409177459,NA,"+",NA,NA,0.0024329078233027,"+",0.00594387619662081,NA,NA,0.374195466287013,"+",18,-1445.18913787312,2926.6742515143,0.453337690886201,0.12753149292724
"105654",1.25062228360255,"+",NA,"+",NA,"+",0.0823893221041896,NA,"+",NA,NA,0.00242745720611779,"+",0.00596148410547006,NA,NA,0.37406609052657,"+",16,-1447.29071868277,2926.81662975637,0.595715932951407,0.1187682620074
"105640",1.29833157764739,"+","+","+",NA,NA,0.0811797428029449,NA,"+",NA,NA,0.0024324578748472,"+",0.00513708295102482,NA,NA,0.374363530754338,"+",17,-1446.27676855604,2926.81824299443,0.597329171011552,0.11867249989406
"122024",1.27236761022016,"+","+","+",NA,NA,0.0805829297483305,NA,"+",NA,NA,0.00245933419639094,"+",0.00473283114512266,NA,"+",0.374562577968557,"+",18,-1445.27283361414,2926.84164299634,0.620729172921983,0.117292122487054
"105638",1.26072165328688,"+",NA,"+",NA,NA,0.0816148917977652,NA,"+",NA,NA,0.00242704291964656,"+",0.00511617204910951,NA,NA,0.374203848118622,"+",15,-1448.48866501249,2927.1847630414,0.963849217980169,0.098800984956759
"122038",1.22580814396111,"+",NA,"+",NA,"+",0.0820404318236134,NA,"+",NA,NA,0.00244711876387121,"+",0.00572225036206344,NA,"+",0.374167033855207,"+",17,-1446.70309473394,2927.67089535023,1.4499815268141,0.0774816721097649
"122048",1.3162551443263,"+","+","+","+","+",0.081529788198122,NA,"+",NA,NA,0.00244931335617545,"+",0.00573836357451875,NA,"+",0.374486541164141,"+",21,-1442.87423581579,2928.14881825204,1.92790442862133,0.0610125736645997
"122032",1.33339929785052,"+","+","+","+",NA,0.0809091524880021,NA,"+",NA,NA,0.00244359478980449,"+",0.00502394231066605,NA,"+",0.374601785018653,"+",20,-1443.90083677586,2928.16546740187,1.94455357845118,0.0605067781117668
"122296",1.25434308887498,"+","+","+",NA,"+",0.0814443158965233,NA,"+","+",NA,0.00246210938092729,"+",0.005601531259522,NA,"+",0.374380319217956,"+",20,-1443.90997664947,2928.18374714908,1.96283332566964,0.0599562734113159
